REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,"1",88000,0,0,0,0,0,0,0,0,18,0,39460.72413,0,0,0,220.3,0,8.698,0
1,"1",89000,0,0,0,0,0,0,0,0,22,0,73007.06591,0,0,0,267.7,0,8.252,0
1,"1",90000,0,0,0,0,0,0,0,0,11,0,23255.04894,0,0,0,227.1,0,8.905,0
1,"1",91000,0,0,0,0,0,0,0,0,29,0,50251.0228,0,0,0,186,0,8.608,0
1,"1",92000,26,80327.805,0,0,230.7,0,8.777,0,727,0,1482288.85801,0,16729.5366,0,201.8,0,8.852,0
1,"1",93000,0,0,0,0,0,0,0,0,5,0,8732.37674,0,0,0,185.2,0,10.486,0
1,"1",94000,1,5249,0,0,84.1,0,9.95,0,33,0,100938.90617,0,0,0,221.6,0,8.227,0
1,"1",95000,1,3040,0,0,240.2,0,9.95,0,14,0,29385.01551,0,1790.81696,0,208.3,0,8.575,0
1,"1",96000,0,0,0,0,0,0,0,0,4,0,12886.68262,0,0,0,206.5,0,8.336,0
1,"1",97000,3,8861.881,0,0,268,0,8.501,0,26,0,65847.04819,0,10.89566,0,211.9,0,8.219,0
1,"1",98000,0,0,0,0,0,0,0,0,15,0,36870.11116,0,417.13951,0,221.7,0,8.526,0
1,"1",99000,0,0,0,0,0,0,0,0,1,0,991.48064,0,991.48064,0,0,0,0,0
1,"1.1",1000,40,70293.464,0,0,200.6,0,8.441,0,1340,0,1837471.85712,0,14248.12084,0,184.5,0,8.773,0
1,"1.1",3000,38,91573.631,0,0,212.9,0,9.055,0,1429,2,2575254.30873,1936.58194,37207.83668,0,212.9,158,8.699,10.001
1,"1.1",4000,34,100833.498,0,0,231.2,0,8.983,0,736,1,1327027.20913,2296.04587,22722.05714,0,185.8,160.4,8.994,7
1,"1.1",5000,1,3000,0,0,276.2,0,8.2,0,17,0,53427.09988,0,397.09227,0,200.8,0,9.038,0
1,"1.1",7000,7,20381.938,0,0,242.9,0,8.327,0,333,0,484717.3586,0,10749.77352,0,181.5,0,8.839,0
1,"1.1",8000,0,0,0,0,0,0,0,0,16,0,45510.08489,0,0,0,189.1,0,8.018,0
1,"1.1",10000,0,0,0,0,0,0,0,0,2,0,2152.08149,0,0,0,195.8,0,10.371,0
1,"1.1",11000,3,10211.2,0,0,196.2,0,8.683,0,80,0,199260.76279,0,4491.31797,0,180.1,0,8.448,0
1,"1.1",12000,0,0,0,0,0,0,0,0,23,0,46618.87265,0,0,0,214.6,0,8.734,0
1,"1.1",14000,8,18701,0,0,221.3,0,8.696,0,275,0,403040.49353,0,6852.36811,0,173.9,0,8.715,0
1,"1.1",15000,0,0,0,0,0,0,0,0,24,0,77085.58885,0,0,0,205.2,0,8.695,0
1,"1.1",17000,2,11211.845,0,0,287.8,0,9.82,0,29,1,73908.7256,5582.93657,36.373,46.35849,219.4,22.2,9.006,6.5
1,"1.1",18000,18,53720.154,0,0,245.5,0,8.603,0,463,1,717577.27837,726.07485,11894.5326,0,193.1,46.3,8.655,6.7
1,"1.1",19000,0,0,0,0,0,0,0,0,25,0,68536.99903,0,0.60619,0,209.8,0,8.197,0
1,"1.1",20000,31,64265.962,0,0,215.4,0,9.098,0,872,0,1282915.68249,0,29277.76356,0,196.6,0,9.05,0
1,"1.1",22000,27,70518.286,0,0,216.7,0,8.275,0,1294,1,2159989.40658,39715.15873,45257.52111,39715.15873,188.2,0,8.391,0
1,"1.1",24000,1,2644.905,0,0,84.1,0,9.95,0,20,1,51790.1438,23468.3111,1737.73682,23468.3111,207.5,0,8.199,0
1,"1.1",25000,1,1600,0,0,60.1,0,9.95,0,33,0,74121.49087,0,5791.32198,0,229.2,0,8.241,0
1,"1.1",26000,0,0,0,0,0,0,0,0,1,0,1387.94894,0,0,0,227.6,0,5.9,0
